Star,Comment
4,これは、コンパクト&スタイリッシュで便利！ 一通り機能の確認をしましたが、問題ありませんでした。 ただ、USB端子は、どちらが3.0なのか、2.0なのか、表示がないので見ただけでは分かりません。 端子内はどちらも青なので、どちらも3.0なのかと思って速度計測したら、USB-C端子に近いほうが、3.0でした。（2.0の方は端子内を黒にすべきかと） 他はしっかりした作りで気に入っています。(^^)
5,しっかりペンタブも使え、リモートワークに活用できました。ありがとうございます
5,surface go 2の拡張用に購入。 外出先でのHDMI出力とUSBポートが欲しくて、必要最低限のハブを探していました。 コンパクトなので常時バッグのポケットに入れておいても邪魔になりません。 HDMI出力も安定していて、USBの転送速度も十分です。 カードリーダーやPD対応も付いているので、外出先でも安心です。
5,届いたので早速使ってみました。写真通りスタイリッシュでいい感じです。 最初USB×2＋HDMIを挿して使おうとしたら、一瞬機能してすぐに使えなくなってしまったため不良品か？と思ったのですが、暫く挿しっぱなしして時間経ってからトライしたところ普通に機能しました。よくわかっていないですがハブにも少し充電しないと使えないのですかね。USBは最初から機能しましたがHDMI使用までは少し時間がかかりました。同じような症状の方がいればと思い、一応レビュー残しておきます。 USBポートを潰さないので非常に使い勝手がいい商品だと思います！
4,TECLAST F5に使用したくて購入しました。 最初、USB2箇所、カードリーダー2箇所のみの動作でアレっと試行錯誤。結局、大元の電流不足だったようで供給電力を大きくしたら、HDMIもPD電源も正常動作しました。今のところ重宝しています。 自分がアホだったのかとも思いましたが、商品説明に必要な電力があったら良かったな。
4,Surfacelaptop4のポートが少ないので購入しました。プレゼンでモニターに繋げたり、カメラの写真を取り込んだり、USBのデータをやり取りしたりするので、オールインワンのものが無いか探していたらピッタリだったので選びました。 外観 Surfacelaptopと同色で雰囲気が統一されてよかったです。 作動 届いてすぐにテストしました。全てのポートに問題なく作動してました。 読み込みもエラーなく対応してました。耐久性はこれからです。 気になった点 USBAの内部の囲いの部品が、若干歪んでました。差し込みには影響無かったですが気になりました。 全体的には便利になってかなり満足です。
5,価格が安く、小型、軽量ですが、放熱性も良く、特に問題なく使用できています。USBの転送能力やSDメモリのアクセス性能までは確認はしていませんが、外部モニタとの接続、USB接続の点では問題ありませんでした。今まで使用していたのものはすごく熱くなり、放熱性が良くなく、複数USB接続時に制約があったのがなくなって快適です。PD６０W対応だからでしょうか、USB タイプCのケーブルが太くて安心といった感じはありませんが、とりわけ問題はなさそうです。
4,商品が到着してから、パソコンには接続しましたが 外部接続まではしていない状況です。 これからUSBとかdisplayに接続予定です。 ほんたの質感は思ったより良かったです。 ひとつ気になったのはUSBの接続口が3.0と2.0の違いが分かりません。 両方とも中の色はblueで外から見ても判断できません。 付属していた仕様にも記述ありません。 それだけが気になりますね
4,MacBook Air用に購入しました。安くてとても満足しています。
5,デジカメのデータを移したりMacBookと iPhoneを一緒に充電できるハブが欲しくて購入しました。ロゴなどが無く、スペースグレイのMacBookとほとんど同じ質感、色味でよく馴染みます。USB-CのメスしかないMacBookにUSB-Aを接続できるので、iPhoneの充電やデジカメの接続もできて便利です。色々挿して熱くなったら嫌だなと思っていましたが、実際温かいぐらいかなと思います。
5,軽くてコンパクトで持ち運びに便利そうです。 旅先などでSwitch本体とモバイルモニターで(ドックだけでも荷物を減らして)ゲームを楽しむために購入しました。動作問題ないこと確認しました。でもSwitchのACアダプターは純正が確実でした。 同時にいろいろ使えるので買って良かったです。
5,SURFACEに使いたくて購入しました。 SDカードまで使えて重宝してます
4,形もスリムでいい感じで机の上がすっきりしました
4,コンパクトで問題なく使えて満足です。一点気になるのは（アルミ加工と思いますが）やや角が鋭く、硬いものと一緒に持ち歩くと傷つけないか心配な点です。総合４つ星としました。
5,HDMIの4K表示ができるUSB Type-C ハブを探していて、この商品を購入しました。コンパクトな本体にもかかわらずUSB3.0接続も2つでき、持ち運びにも便利で助かっています。
5,迅速な対応でとてもよかった。 MacBookで動作も良く、使いやすい
5,古今ではワイヤレスが一般的なのでUSBポートが足りない事はないですが、やはり節約したいのでこの商品を購入。 ほんとに素晴らしくコスパの良い物でした！
5,軽くて使いやすいです。 持ち運びもOKなので、娘が進学した際に活躍しそうです。
4,快適に使わせていただいております。ありがとうございます。
5,すぐに発送していただき、早速使わせていただいております。コンパクトサイズで使いやすく、大変満足しております。ありがとうございました。
5,switch、surface、chromebookでも問題なく利用出来ました。 電源はchromebookのものを利用してみましたが、充電しながらの利用も問題ありません。 コンパクトで持ち運びもかさばりません。
4,Amazonでスマホ用を楽天でPC用を買いました。先に到着したスマホ用は不良品でした。すぐに動作確認をしたのですが、マイクロ用はすぐに認識できるのですが、変換アダプタをつけたSD用は認識出来ません。変換アダプタ2個のうち1個が動作不良でした。多分スマホ用のカードリーダーを試したせいのようです。こんなことなら最初から両方ともこちらで購入すべきでした。 この商品、全部確認出来ませんが、SDやマイクロ、USBはスムーズにいきました。ありがとうございます。
5,今のところは問題なく使用できています。耐久性はまだわかりません。
5,到着まで迅速に対応してくれました。ありがとうございました。
5,すぐに届きました。 昔のデータが見られてとても良いお買い物をしました。
4,コンパクトで使いやすい！ まだ使い始めたばかりですが 写真の転送等便利に使えそうです！
5,旦那さんが欲しがっていたので購入しました。お値段もお手頃で重宝している様子です。
4,『発送遅延のお詫び』がメールで来ていたのでもう少しかかるかと思っていましたが、予想外に早くて発注から4日で届きました。 新しい MacBook Pro の到着待ちのため商品自体はまだ使えておらず性能や使用感のチェックはまだですが楽しみです。
5,購入したゲーミングPCにUSBポートが1つしかなかったので増設用に検討してたのですが、type-CならMacBookでもつかえるなとこちらにしました。持ち運びは想定していないのですが、コンパクトで使い勝手がよく、購入してよかったです。 iPad Proに繋いでHDMIでモニターに接続もしましたが問題なくできました。こういう使い方を考えていなかったので、ちょっと感動！
5,タブレット型パソコンsurfaceに使用するために購入しました。ちょっとした仕事やデータ移行するのに、今までわざわざパソコンの前に座って、起動するのを待って、行っていましたが、このハブを購入したことで、手軽なタブレットを使って、ちゃちゃっと終わらせることができるので、手間が省けました。また、テレビ画面に繋げるようになったことで、できる事が広がりました。
4,すぐに発送していただきました。すべてのポートを確認できていませんので★４としますが、ハブとして大活躍してくれそうです！
4,とても使いやすく助かってます 有難うございます
5,夏休み時期だったのですが、思ったより早く届いたので助かりました。見た目がシンプルで気に入りました。昨日も申し分なく、全く問題無く使えています。値段もお手頃だったので良い買い物をしたと思っています。
4,思ったより良い商品だった。 かなり、画像など早く取り込めるようになって良かったです。 後は耐久性なので星&#11088;&#65039;4つで様子見ます。
5,今まで購入したSDカードリーダーorハブの中で一番使いやすいです。6in1なので普段使用している機器を取り外すことなく必要な時だけ取り付けられるし、タブレットにも使用できます。
5,タブレットを変えたのでType-c対応のハブを探していたところ、お値段、機能共に気に入ったので購入。 コンパクトで質感がよく今まで使っていたハブと比べ大分よくなりました。 新規タブレットは中華Androidでしたので互換性が心配でしたが問題なし（HDMIはまだ試してません）SDカード上にある4Ｋ動画がストレスなく読み取れたのは期待以上でした
5,購入しました。 他にUSB等も繋げてとても便利で大満足です。
5,先日、PCを買い替え、SDカードの用のポートがない事に、びっくり！ 今は、外付けのハブで対応するとの事。 安価で、いい商品を、早く手に入れられたと思います。 ありがとうございました。
5,商品が届いたので、早速USBポート及びカードリーダーとして使用しましたが、想像以上の使い勝手で大変満足しています。
5,「Google Chromecast with Google TV」の本体と電源ケーブルの間に接続しUSBポートにUSBメモリを挿して動画再生に使用。問題なく動作しています。 これでYouTube等のネット動画だけでなく手持ちの動画もPCやスマホなしでTVで再生できるようになりました。満足しています。 追記 商品には関係ないのですが 6／28（月）にレビューを書いて8／2(月）で5週間になりますがレビュープレゼントのmicroSDカードが送られてきません。なぜ？
4,Switchに使用するために購入しましたがSwitchが壊れて使用出来ませんでした。 Switchを修理してから使用します！
5,iPadで使用しましたが、問題なくスムーズに使用できました。HDMIが使用できるのは良い。
5,iPadで使えるハブを探していたので多機能かつ金額も抑え目な本製品を見つけることができ良かったです。 実際ほかの製品と接続するときも使いやすく普段から複数の機器を接続して使用しています。 このような製品でここまで安いのはあまりないと思います。
5,Surface Laptop Goのアイスブルーを購入したので、ハブが必要となり購入しました。 色も合っていてコンパクトで気に入っています。 まだSDカードしか使用していませんが問題なく使えています。
5,商品の発送、到着まで早く、問題なく使えています。 コスパが良くていいです。
5,Switchとテレビを繋ぐために購入しました。はじめ映らないと思ったのですが、HDMIケーブルを差し直して映るようになりました。純正の電源ではなかった（一応Switch対応のもの）ので心配でしたが、ちゃんとうつってよかったです。
5,macbook pro13で使うため購入。トラブルなく使えています。個人的にはコードの長さがもう少し短いと嬉しい。 メール便での発送は発送完了通知だけで追跡ができない店舗が多いですがこちらのお店は追跡番号を教えてくれるので親切だと思います。
5,新年早々の素早い対応に感謝です! 早速外付けSSD２台の同時接続やSDカードとのデータ移行が行え、作業効率が格段に向上しました。 ＰＤ対応電源付きなので、ノートに充電しながら他の作業も出来て便利です。 有難う御座いました!
5,Windows PCでSDカードを読み込むため購入しました。問題なく動作しています。デザイン、機能とも満足です。
5,MacBookAirで使用するために購入しました。 問題なく動作できました。 シンプルで見た目も良く満足です！
5,ノートパソコンのポートが少ないため購入しましたが予想通り重宝しています。見た目も高級感があるので気に入っています。
5,Switch対応のものを探してました。Switchを持ち運ぶ際に荷物が減り助かります。また、パソコンのハブとしても優秀です。
5,購入して2日ほどで到着。 使用しているPCの映像出力用に購入。 問題なく使用でき、とても満足しています。
5,ありがとうございました&#128522;&#128522; またご利用させて頂きます
5,使って1週間です。しっかり使えています。たいへんコンパクトでデスクの上でも邪魔になりません。
5,娘が春から大学の授業でPCを使うという事でsurface laptop用にコチラのハブを購入。全ての機能が集約されていて文句無しです。欲を言えば色の種類があると完璧ですね。
5,イメージ通りで、薄いので持ち運ぶときもかさばらず良かったです。 白があったらまた購入を検討したいです。
4,とっても使いやすく満足してます。ありがとうございました
5,コンパクトでデザインはシンプル。surface laptopで問題なく使用できました。ありがとうございました！
5,hdmiとSDカードを使えたので満足です。商品もきれいに届きました。Chromebookで使ってますが動画がきれいに見れてとても満足です。ありがとうございました
5,とても便利です。持ち歩きしたいと思います。
5,これはめちゃくちゃ便利です！ ラップトップユーザーには必須です！
4,プラチナシルバーのノートパソコンとの色は合います。
5,プレゼント用に買いました！問題なく使えてるとのことで、大満足です！
5,デザインがよく多機能で満足です。同じような商品がいくらかありましたがこのショップで安く買えて良かったです。
5,値段も安くコンパクトで綺麗で大満足です。
4,iPadとテレビをつなぐのが主な目的で、他の媒体も使用したいため購入しました。 今のところ問題なく使用できています。この金額ではコスパがよい商品なのではないでしょうか。
4,急遽SDカードのデータを移す必要があった為購入しました。転送速度もストレス無いです。
5,Surface用に購入しました。 欲しかった機能がギュッとつまっていて、とても便利です！
5,デザインもすっきりしていて、必要な時だけパソコンにつなげて利用できるので、重宝しています。 SDカードも、特に不具合なく、ちゃんと認識されています。
4,パソコンの移動しにハブの抜き差しのみとなりスピードアップしました。 少し温度が上がるのが気になりました。
4,欲しい機能が無駄なく搭載。軽く持ち運び便利。マウスも使えるとの触れ込みも私のマウスには反応せず…
4,ガンメタ購入しました。ちょっと重いですが満足です。 これでMacBookに色々させるようになりました。 気にならない程度ですがボディに傷がありましたので星一つ減らします。 ありがとうございました。
5,まだ使用していないのですが、梱包も問題なく届きました。使用するのが楽しみです。
5,値段の割に良い商品です。iPad Airにしっかり認識して、外付けHDが使用できました。
5,問題なく使用できました！ これだけ色々使えるのはとても便利です。 長持ちしてくれればなお嬉しいですね。 今後大事に使わせていただきます。
4,スマホにつなげてSDカードのデータを取り込みました。読み取ることができてよかったです。短時間しか接続してませんでしたが、結構熱を持って熱くなります。
5,仕事で使用するMacのために購入。シンプルでスタイリッシュ、かつスリムでスペーシを取らないので、持ち運びもできそうです。機能も問題なく使用できています。
5,すべての接続は試せていませんが、ちゃんと繋がって良かったです。
4,MacBook用に購入しました。すごく軽くて持ち運びやすく、形もスリムなので省スペースでも邪魔になりません。買ってよかったです。
4,スマホのカードリーダーとして購入しました。 サンディスクの128GB Extreme UHS-I U3 V30がスマホの外付けメモリとして使えたので便利です！ それ以外にもノートPCのPDハブとして使う予定です。 安いのに色々と揃っているので、1つあると便利ですね。
4,MacBook airに使っています。 シンプルなデザインでかさばらず、使い勝手も良いので助かりました。ありがとうございます！
4,予想してたよりも、コンパクトでスマートで、とても良さそうな印象を受けました。 使用時に充電が出来るので(コレは確認済み)、スマホ本体の充電を気にする事も無く、長時間使用出来そうで、そこだけでも満足していますが、他はまだ試せていないので、星は4つになっただけです。
5,期待通りの商品でした。質感がこうきゅうかんあります。発送も早くて満足です。
5,注文してすぐに届きました。 とても使いやすく助かってます 有難うございます
4,スタイリッシュ!! 指紋なども着きにくいので嬉しいです。 持ち運びもコンパクトで助かってます！
4,マットな感じでおしゃれなデザインです！ MacBookとディスプレイの接続はできました。 ただ私のやり方が間違っているのか、スイッチとディスプレイには接続できませんでした… ですが、USB、HDMIと使えるので満足はしてます。
5,スタイリッシュな形で気に入ってます。 全く大きくなく持ち運びに便利です。
5,メタリックでしっかりしています。 HDMIがあるのが便利。プロジェクターとiPad Air繋いで映画観てます。
4,非常にコンパクトで持ち運びに便利です。ただ、レビューされている方がおっしゃるとおり、USB2.0と3.0のなんらかの区分けは欲しいところです。
5,スペックは商品説明通りで動作も問題なしです 質感が良く、ロゴマークなどもないシンプルな外見なので使いやすいです
5,グレーで高級感もあり、かなり満足です、色々と試してみます。
4,小型だし軽く、なかなか便利な商品です。デザインもかっこいいです。
5,購入から到着まで不具合もなくとても満足です！
5,ありがとうございます。 とても良い商品でした！
5,到着までスムーズでした 使用に関しても良好でした
4,Type-C ハブの2個ついているものは、すぐ抜けるのでこの製品を購入しました。
4,やはり直挿しよりもケーブルがついている方が使いやすい。質感も高級感あっていい。
5,コンパクトで軽くて問題なく使用できています！
5,発送も早くて商品も小さく軽く持ち運びにも便利でよかったです！
5,ChromebookでSDカードの読み込みをするために購入。 ChromebookにType-Cポート1つしかないため、充電しながらSDカードを使用できるのは大変助かります。価格もお手頃で大満足です！
4,仕事で、急に必要になったため購入しました。すぐに届いて良かったです。
4,携帯性も良く非常に使い勝手が良い 出張に活用できそう
5,非常に軽量、小型で携帯するにも便利。 コードの長さ的にそのままにするとややだらんとしてしまうので、何か小さな箱の上にでも置くと格好がつくかもしれません。 SDカードの認識も問題なく、PD対応端子も反応します。iPad作業がグレードアップ。とてもお安く買い物できました。
5,コンパクトで使いやすい！ まだ使い始めたばかりですが 写真の転送等便利に使えそうです！
5,Ipad用に購入。過去Androidタブレットで使ってた時のデータなどをMicroSDなどに入れてたので、そのデータを閲覧したり転送したりに使ってます。 本体に差してすぐ使えるので大変満足です。 全てのスロットルを使用したわけではありませが、何かの時用に持っておくには十分かと思います。
4,今までいろいろと付け替えていたのが、簡単になりとても便利です。 USB 3.0・HDMI ポート 4K は気に入っています。
5,注文してから、直ぐに届きました。値段の割にとても重みも有り、凄く高価な製品に思えました。実際に使用してみると、自分が試した事は全て正常に作動してます。本当に良い買い物をしました！大満足です。
5,多機能でかなりコスパいいと思います。表面の質感がツルツルじゃないので、指紋が見えないのがgoodです。
4,ケーブルのところが若干画像と違うけど商品自体は満足です。 保証もついているので安心して使えます。
5,小型･軽量でこのお値段！とてもいい買い物をしました。
5,以前からこのタイプ欲しくて、家電店舗や、ホームセンターを見て回りましたが、値段にも満足できなく御社に決めました。
5,期待していたもの通りの商品でした。 使いやすいと思います。
5,液タブ用にHDMIとUSBを繋ぎたかったので購入しました。 早速試してみましたが、問題なく接続できました。 iMac 2019
5,まだ使用していませんが、早い到着で満足しています。見た目がシンプルで良いと思います。
4,まいくろSDからのデーター転送問題なしでした。 良い買い物が出来ました。
5,とても安く、早く届きました！ モニターへの接続も楽々で安心しました。どうもありがとうございます。
5,パソコン側でにんしきしました。使えると思います。
5,転送速度も早く大変満足です。コスパもいいと思いました。
5,MacBook Proへのデータ移行するのにUSBを使いたかったので購入しました。 手頃な値段で6in1の商品を購入することができてかなりお得でした。 スッキリした形状でしたが少し重たい感じがしました。 まだ新しいからだと思いますが、抜き差しは若干硬めです。
5,見た目のスタイリッシュさのみならず、機能性も抜群。色々と比較した中で一番コスパも良く、大変満足です。
4,問題なく動作しています。この価格は大変魅力的かと思います。
4,複数のコードがまとまってすっきりしました。
5,MacBook Airを使用していてUSBにデータをうつすために購入しました。なにを買っていいか分からなかったため、検索の上に出てきたこちらの商品を購入しました。問題なく目的を果たしてくれたため、この評価となりました。
4,サイズ、質感ともにとてもいいです。 筐体が黒もあるとなお良いと思います。
5,Macに全然差込口がないので、沢山ついてるハブをお値打ちに購入でき助かりました。 ありがとうございます！
5,USB、SDカードのみしか確認していませんが問題なく取り外しもできました。 一年保証があるのも安心です。
5,とても重宝させていただいております。 また機会があれば注文させていただきます。
4,初期不良で問い合わせたところ迅速に、新しい商品発送していただきありがとうございました。 Micro SDがちょっと指図らいです。
5,デザインも良く、使いやすくて非常に満足しています。
5,在宅で仕事をするため購入しました。 1週間使用しましたが、問題なく使えています。 コスパ良です。
5,問題なく動作しています。 これでパソコンやiPadでデータを見るのも保存するのも大変楽になりました！
4,有線でSwitchライトを使用したくて購入しましたり 最初は接続しにくかったのですが、何回か試してみると安定して使えるようになりました。
5,とても速やかな対応で助かりました。 また機会が有れば注文します。
4,使い勝手がよく、お値段とのバランスもよいと思います。持ち運びにもちょうどいいです。重宝しそうです。
5,デザインもよく、満足しています！ ありがとうございます。
5,SurfacePro7と２７インチディスプレイを接続することを主目的として購入しました。 最初互換性を心配しましたが、無理なく使えています。 外付HDDやSDカードの接続予定もあるので、ポート数の豊富さも満足です。
5,以前他メーカーのプラスチック製を使用しており、すぐに壊れるのが嫌でこちらの商品を購入しました。とても丈夫で大満足です。ありがとうございました。
4,Dynabookで、HDMI、USB、SDカードmicroSDカードの使用を確認しました。また、ファーウェイのP30ｌi teでUSBメモリーへのデータ移動ができました。初回の接続-認識に時間がかかったこと以外は画質等も満足しています。作りもしっかりしています。安っぽくはないと思います。
5,早く届いて助かりました。 また機会が有れば利用したいと思います。
5,これから利用しますが見た目、サイズなど希望通りでした
5,新しく買ったパソコンにSDカードを差すところがなかったのでこちらの商品を購入しました。スッキリしたデザインで満足です。使い勝手も良く、買って良かったです。
4,Ipad air 4の容量が小さい、ハードディスクと接続するために購入しました。差し込む時に多少硬いですが、問題なく接続出来ます。満足です!
5,スマートな本体で気に入っています。 新しく購入したパソコンにSDカードの挿入ができなかったのでこちらを購入しました。
5,タイプCの差し込みに加え、HDMI、USB等複数に対応していて便利です。問題なく使えています。 使っていたUSBが壊れたので購入しましたが、楽天スーパーセールでオーダーの多い時期にもかかわらず、２日後には手元にあり、大変助かりました。
5,中学生の息子のMac用に買いました。デジカメのSDカードから直接画像を取り込んだり、USBが2個差し込めたり、使い勝手が良くなり喜んでいます。まだ機能を使いこなせていませんが、あると色々便利に使えると思うので、購入してよかったです。
5,配達遅延の連絡がありましたが翌日に配達され安心しました。製品については、期待通りで、テレワークとたまに出社する際に、このUSBを挿す挿さないで簡単に環境変化ができて満足です。価格も機能から考えると妥当かな。
5,コストパフォーマンスがよく大変満足です！
5,見た目も良く、コンパクトで使いやすいです。 ありがとうございました。
4,高級感のあるデザインで自分のMacBook Proにマッチしていて大変気に入っております。
5,まだ使ってませんがスタイリッシュで見た目は100点です！
4,コンパクトで使いやすい。発送も早くて良かったです。
4,スッキリしたデザインでコンパクトなのがいいです。
4,スマホ、デジカメ、パソコンへの接続とニーズに合った商品が見つかって良かったです。
5,デザインもスマートで接続のスロットが多様で気に入ってます。
5,在宅勤務が始まりノートPCを会社と家で持ち運びするようになりました。荷物を少なくするためとPC周りをすっきりするために購入しました。 購入した製品は会社で使っています。PD対応なのでノートPCの充電もできますし目的どおり一回USB端子に差し込むだけで済みますので良いと思います。
4,これはいい！見た目もシンプルでカッコいいし軽くて持ち運びにも便利！！
5,発送も早く、質感もサイズ感もとても満足です！
4,コンパクトなのにＵＳＢやＳＤカードなどが使えて便利だと思い購入しました。発送が早く、ＰＣの設定がまだ上手にいかず商品を使えてはいませんが、これから活躍してくれると期待しています。 大きさや、質感は期待通りなので使うのが楽しみです。
4,Xperia 10マークスリーにて使用。 マウスや外付けHDDも認識するので、HDMIケーブルでTV出力可能なので商品的には満足。 ただ、Amazon fire10Plusでは、何故か本体側で水滴反応がでてしまい使えなかった。 なので☆4。
4,早急に送ってもらったので助かりました。 また利用したいと思います。
5,値段もお手軽で6in1に惹かれて購入しました。こういう機器類で値段が安い物だと相応のクオリティになりがちですが、寧ろ値段以上に見えますしとても良品でした◎ 液晶タブレットをiMacに接続する用で購入したので、かなり重宝します！
4,ノートパソコンとモニターをHDMIケーブルで繋いで使っています。画面が綺麗に映りましたので、一安心です。
4,パソコン(USB タイプc)→(HDMI)モニター、の接続をするために購入しました。 まだ使って一週間ほどですが、便利で重宝しています。一年間の安心保証サービスが付いているのも嬉しいです。ありがとうございました。
5,集約されてるため非常に楽です。外すと時1本で済みます。
5,これでUSBやSDカードが使えます。 ありがとうございました。
5,購入してすぐにSDカードを挿入してみました。正常に動作しました。
5,コンパクトで6つの接続ポイントがあり、場所をとらず、持ち運びにも便利です。 HDMIでモニター接続、バッチリできました。
5,type-cのハブは快適です。複数デバイスでもちゃんと機能しているので満足です。
4,休日前に注文したのに、すぐ届きました。 問題なく使えます
5,何も迷うことなく使用できてます。 色々と接続しましたが、全て認識できてます。 勿論、カード類も…。 見た目も写真よりスマートです。
4,androidスマホで全ポート無事使用出来ました。 タブレット、pcは今後試します。
5,パソコンに接続して使用しています。 カッチリと端子に刺さり今の所、読み込みも問題ありません。コンパクトで携帯性も良いと思います。
5,スマホにモニターが接続できマウス操作できるので操作性が良くなりました。今度はキーボードを接続したいと思います。
5,ガラ携からスマホデビューするにあたり、データ移行に使おうと思って、購入しました。１台で何役も果たせる優れもの。でも、お値段は良心的。これから活躍してくれそうです！
4,スマートで使いやすいです！！！！ 到着もスムーズで早かったです！
5,新しいノートPCはUSBポートがひとつなので購入、ワイヤレスマウス、ポケットWi-FiとiPhone同時充電できてます。
5,スッキリしたデザインで多機能。PC周りがとてもスッキリしました。
5,Nintendo switchとテレビをつないで使っています。テレビでゲームが出来なくなって困っていたので、問題なく使えて助かりました。
5,以前から大画面で作業したいと思って、HDMI接続用のハブをさがしていました。最終的に決め手となったのは値段です。接続も安定していて満足です。
5,これだけの機能がついているにも関わらずに、この値段は安いです。動作も問題なく満足しています。
3,MacBook Air用に購入しました。 問題なく使用できています。
3,Type-Cの口がパソコンに一つあったので、USBなどを使う為に購入しました。便利です。ただ、外付けのDVDドライブを使う際電源供給がうまくいかないのか作動しなかったです。
3,思ったよりコンパクトで、メタリックな感じもよかったです。 これから活躍しそうです。
2,スマホからSDカードへデータを移したくて購入したのですが、認識してくれません。 OPPOでは使えないのか…それとも何かアプリが必要なのか… もっと調べてから購入すべきでした。 パソコンでは問題なく使用できました。
2,タイプCが使えるノートパソコンで使用するには非常にスマートな商品で満足している
1,映画、テレビ、音楽などを臨場感…とありますが、映像しか出力されません 音声がでなければ楽しめませんし、音をノートでとしても出力先のテレビの遅延が激しくて論外です 説明書も実質無いので対応もできません TVモニタは昨年購入の65インチ、有機ELでハイエンドモデル、PCは2in1ノートですが第11世代のCORE i5搭載、今年の春モデルです
3,タブレットに使用する予定だったけど、タブレットの設定のせいかデータが見れなかった。 USBもタイプCもSDカード等も使えてパソコンとスマホには使えるから概ね満足。 商品のせいではないが目的は果たせなかったので星3
3,商品届いた日にUSBでスマホから音楽ファイル無事転送。 翌日HDMI差込でモニターに接続しましたが認識せずでした 格安スマホはHDMI対応ないようですので仕方ないみたいです SDカードも試してみようと思ってます
3,当初USBポートが、斜めになっていたなどの製品が届きましたが、再度新品を送っていただき、感謝です。
3,MacBook AirでUSB Type-Cの充電はOK。データ転送や変換ケ－ブルでのHDMIは機能しなかった。 HDMIポートは最初MacBook Airに接続したら画面がちらつく。HDMIケ－ブルを変えてみたらちらつきはなくなった。ケーブルとの相性があるようだ。 他のUSBポート、SD/TFカードは問題なく機能した。
2,遅延理由のメールは届きましたが遅かった。
1,商品が届いて、すぐ使ってみましたが パソコンがおかしくなります。 そして、マウス、反応しません。  何度か安全に抜き差ししても、パソコン立ち上げ直しても、ダメでした。 不良品でした… 真摯にご対応頂けるのでしょうか。 レビューいっぱい読んで、大丈夫かなと思って選んだのに、かなり残念です。
3,充電器からこのカードリーダー経由でパソコンに繋いだところ、熱をもって充電もできませんでした。 そのため、充電器はそのままで、反対側につけました。 イメージした配置とは違うので、この評価にします。
1,ドライブレコーダーの映像をスマホで見るために購入しました。説明書を読んでもよくわかりませんでしたがなんとか映像を見ることができました。他の使い方はわかりません。
3,最初にきちんと調べれば良かったのですが、Xperia so04jは使えませんでした。購入した後に繋いでから判明しました。なので、良い商品かどうかの判断が出来ませんでした。
3,PC側に差し込むUSB Type-Cコネクタや、ハブに差し込むUCBコネクタが全体的に渋く（抜き差しに少し力が必要）なのですが、使い込んでいくうちにスムーズになるかも知れません。
3,USBは問題なく使用できましたがHDMIは今一でした。
1,USBハブをさがしていて値段が他と比べ安かったので購入しました。 接続も安定していてこれからも愛用していきたいです!! p.s. 映像出力の部分が壊れていた… 保証はあるけど送るのが大変なので検討中
